,addressid,stateID,bedrooms,bathrooms,propertytypeID,price,heatingtypeID,forsale,appliancessincluded,yr_built,ownerid,
0,124,32,3,1,3,221900,4,FALSE,FALSE,1955,885,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (124,885,32,3,1,3,221900,4,FALSE,FALSE,1955);"
1,4191,32,3,2.25,4,538000,4,TRUE,FALSE,1951,236,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4191,236,32,3,2.25,4,538000,4,TRUE,FALSE,1951);"
2,581,32,2,1,2,180000,2,FALSE,FALSE,1933,511,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (581,511,32,2,1,2,180000,2,FALSE,FALSE,1933);"
3,192,32,4,3,2,604000,1,TRUE,FALSE,1965,560,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (192,560,32,4,3,2,604000,1,TRUE,FALSE,1965);"
4,2963,32,3,2,4,510000,4,TRUE,TRUE,1987,433,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2963,433,32,3,2,4,510000,4,TRUE,TRUE,1987);"
5,423,32,4,4.5,1,1225000,4,FALSE,TRUE,2001,761,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (423,761,32,4,4.5,1,1225000,4,FALSE,TRUE,2001);"
6,1968,32,3,2.25,1,257500,4,FALSE,TRUE,1995,606,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1968,606,32,3,2.25,1,257500,4,FALSE,TRUE,1995);"
7,758,32,3,1.5,3,291850,2,TRUE,TRUE,1963,946,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (758,946,32,3,1.5,3,291850,2,TRUE,TRUE,1963);"
8,4324,32,3,1,4,229500,3,FALSE,TRUE,1960,652,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4324,652,32,3,1,4,229500,3,FALSE,TRUE,1960);"
9,2780,32,3,2.5,2,323000,1,FALSE,TRUE,2003,761,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2780,761,32,3,2.5,2,323000,1,FALSE,TRUE,2003);"
10,2947,32,3,2.5,1,662500,2,FALSE,FALSE,1965,48,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2947,48,32,3,2.5,1,662500,2,FALSE,FALSE,1965);"
11,4180,32,2,1,4,468000,4,TRUE,FALSE,1942,91,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4180,91,32,2,1,4,468000,4,TRUE,FALSE,1942);"
12,3015,32,3,1,3,310000,4,TRUE,FALSE,1927,771,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (3015,771,32,3,1,3,310000,4,TRUE,FALSE,1927);"
13,2311,32,3,1.75,3,400000,1,TRUE,FALSE,1977,260,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (2311,260,32,3,1.75,3,400000,1,TRUE,FALSE,1977);"
14,1970,32,5,2,2,530000,1,TRUE,FALSE,1900,509,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (1970,509,32,5,2,2,530000,1,TRUE,FALSE,1900);"
15,4165,32,4,3,3,650000,3,FALSE,TRUE,1979,501,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4165,501,32,4,3,3,650000,3,FALSE,TRUE,1979);"
16,4987,32,3,2,3,395000,2,FALSE,FALSE,1994,164,"insert into house (addressid, ownerid, stateid, beds, bathrooms, propertytypeid,price,heatingtypeid,vacancy,appliancesincluded,yearbuilt) values (4987,164,32,3,2,3,395000,2,FALSE,FALSE,1994);"
