,ownerincome,housholdincome,ownerid,houseid,
0,516230,529348,885,570,"insert into income (ownerid, houseid, familyincome, householdincome) values (885,570,516230,529348);"
1,849289,1016289,236,149,"insert into income (ownerid, houseid, familyincome, householdincome) values (236,149,849289,1016289);"
2,561928,565813,511,1693,"insert into income (ownerid, houseid, familyincome, householdincome) values (511,1693,561928,565813);"
3,379501,798816,560,2267,"insert into income (ownerid, houseid, familyincome, householdincome) values (560,2267,379501,798816);"
4,733295,613189,433,2269,"insert into income (ownerid, houseid, familyincome, householdincome) values (433,2269,733295,613189);"
5,510185,980298,761,182,"insert into income (ownerid, houseid, familyincome, householdincome) values (761,182,510185,980298);"
6,943843,809168,606,59,"insert into income (ownerid, houseid, familyincome, householdincome) values (606,59,943843,809168);"
7,945125,585945,946,558,"insert into income (ownerid, houseid, familyincome, householdincome) values (946,558,945125,585945);"
8,936847,897754,652,535,"insert into income (ownerid, houseid, familyincome, householdincome) values (652,535,936847,897754);"
9,953553,1107583,761,1295,"insert into income (ownerid, houseid, familyincome, householdincome) values (761,1295,953553,1107583);"
10,315778,634318,48,1739,"insert into income (ownerid, houseid, familyincome, householdincome) values (48,1739,315778,634318);"
11,463196,619359,91,1037,"insert into income (ownerid, houseid, familyincome, householdincome) values (91,1037,463196,619359);"
12,763356,918994,771,1269,"insert into income (ownerid, houseid, familyincome, householdincome) values (771,1269,763356,918994);"
13,969390,1059617,260,1106,"insert into income (ownerid, houseid, familyincome, householdincome) values (260,1106,969390,1059617);"
14,523842,614894,509,625,"insert into income (ownerid, houseid, familyincome, householdincome) values (509,625,523842,614894);"
15,801610,771697,501,1127,"insert into income (ownerid, houseid, familyincome, householdincome) values (501,1127,801610,771697);"
16,551317,806457,164,2422,"insert into income (ownerid, houseid, familyincome, householdincome) values (164,2422,551317,806457);"
17,908318,897774,417,305,"insert into income (ownerid, houseid, familyincome, householdincome) values (417,305,908318,897774);"
18,615798,1020593,340,385,"insert into income (ownerid, houseid, familyincome, householdincome) values (340,385,615798,1020593);"
19,986288,774306,667,1905,"insert into income (ownerid, houseid, familyincome, householdincome) values (667,1905,986288,774306);"
20,358714,936520,840,1142,"insert into income (ownerid, houseid, familyincome, householdincome) values (840,1142,358714,936520);"
21,580347,1002110,193,486,"insert into income (ownerid, houseid, familyincome, householdincome) values (193,486,580347,1002110);"
22,943453,709294,66,1808,"insert into income (ownerid, houseid, familyincome, householdincome) values (66,1808,943453,709294);"
23,709677,649274,461,91,"insert into income (ownerid, houseid, familyincome, householdincome) values (461,91,709677,649274);"
24,496077,1049447,302,2377,"insert into income (ownerid, houseid, familyincome, householdincome) values (302,2377,496077,1049447);"
25,326494,721894,896,1073,"insert into income (ownerid, houseid, familyincome, householdincome) values (896,1073,326494,721894);"
26,368329,771573,158,905,"insert into income (ownerid, houseid, familyincome, householdincome) values (158,905,368329,771573);"
27,947146,783584,772,1885,"insert into income (ownerid, houseid, familyincome, householdincome) values (772,1885,947146,783584);"
28,854945,1078123,789,1741,"insert into income (ownerid, houseid, familyincome, householdincome) values (789,1741,854945,1078123);"
29,909038,565654,207,2487,"insert into income (ownerid, houseid, familyincome, householdincome) values (207,2487,909038,565654);"
30,538626,1049643,110,1260,"insert into income (ownerid, houseid, familyincome, householdincome) values (110,1260,538626,1049643);"
31,927999,566801,861,2409,"insert into income (ownerid, houseid, familyincome, householdincome) values (861,2409,927999,566801);"
32,659297,733756,358,1633,"insert into income (ownerid, houseid, familyincome, householdincome) values (358,1633,659297,733756);"
33,755788,632321,771,258,"insert into income (ownerid, houseid, familyincome, householdincome) values (771,258,755788,632321);"
34,965324,508398,145,446,"insert into income (ownerid, houseid, familyincome, householdincome) values (145,446,965324,508398);"
35,555843,650686,627,1086,"insert into income (ownerid, houseid, familyincome, householdincome) values (627,1086,555843,650686);"
36,857454,699068,910,579,"insert into income (ownerid, houseid, familyincome, householdincome) values (910,579,857454,699068);"
37,381164,635007,354,967,"insert into income (ownerid, houseid, familyincome, householdincome) values (354,967,381164,635007);"
38,977731,987411,556,2163,"insert into income (ownerid, houseid, familyincome, householdincome) values (556,2163,977731,987411);"
39,725416,630433,90,515,"insert into income (ownerid, houseid, familyincome, householdincome) values (90,515,725416,630433);"
40,651292,1155213,111,1977,"insert into income (ownerid, houseid, familyincome, householdincome) values (111,1977,651292,1155213);"
41,935486,516586,745,2493,"insert into income (ownerid, houseid, familyincome, householdincome) values (745,2493,935486,516586);"
42,339105,1131028,840,495,"insert into income (ownerid, houseid, familyincome, householdincome) values (840,495,339105,1131028);"
43,389579,769750,257,1057,"insert into income (ownerid, houseid, familyincome, householdincome) values (257,1057,389579,769750);"
44,615628,929216,298,1147,"insert into income (ownerid, houseid, familyincome, householdincome) values (298,1147,615628,929216);"
45,608054,646910,181,1285,"insert into income (ownerid, houseid, familyincome, householdincome) values (181,1285,608054,646910);"
46,307617,772020,401,1532,"insert into income (ownerid, houseid, familyincome, householdincome) values (401,1532,307617,772020);"
47,553504,785446,202,467,"insert into income (ownerid, houseid, familyincome, householdincome) values (202,467,553504,785446);"
48,637732,1132540,668,1065,"insert into income (ownerid, houseid, familyincome, householdincome) values (668,1065,637732,1132540);"
49,937616,644480,94,2494,"insert into income (ownerid, houseid, familyincome, householdincome) values (94,2494,937616,644480);"
50,498563,769662,51,791,"insert into income (ownerid, houseid, familyincome, householdincome) values (51,791,498563,769662);"
51,951204,602725,570,1852,"insert into income (ownerid, houseid, familyincome, householdincome) values (570,1852,951204,602725);"
52,332304,878580,416,1026,"insert into income (ownerid, houseid, familyincome, householdincome) values (416,1026,332304,878580);"
53,767724,623546,605,150,"insert into income (ownerid, houseid, familyincome, householdincome) values (605,150,767724,623546);"
54,753609,687426,118,498,"insert into income (ownerid, houseid, familyincome, householdincome) values (118,498,753609,687426);"
55,771041,640587,439,398,"insert into income (ownerid, houseid, familyincome, householdincome) values (439,398,771041,640587);"
56,688173,1006457,461,1647,"insert into income (ownerid, houseid, familyincome, householdincome) values (461,1647,688173,1006457);"
57,834443,1045997,870,2138,"insert into income (ownerid, houseid, familyincome, householdincome) values (870,2138,834443,1045997);"
58,684129,608628,377,1027,"insert into income (ownerid, houseid, familyincome, householdincome) values (377,1027,684129,608628);"
59,651007,1063099,955,204,"insert into income (ownerid, houseid, familyincome, householdincome) values (955,204,651007,1063099);"
60,950543,970571,750,1596,"insert into income (ownerid, houseid, familyincome, householdincome) values (750,1596,950543,970571);"
61,780673,1081675,549,1799,"insert into income (ownerid, houseid, familyincome, householdincome) values (549,1799,780673,1081675);"
62,312399,980704,751,46,"insert into income (ownerid, houseid, familyincome, householdincome) values (751,46,312399,980704);"
63,390873,698167,523,1870,"insert into income (ownerid, houseid, familyincome, householdincome) values (523,1870,390873,698167);"
64,312752,886075,791,1719,"insert into income (ownerid, houseid, familyincome, householdincome) values (791,1719,312752,886075);"
65,350918,1077142,561,645,"insert into income (ownerid, houseid, familyincome, householdincome) values (561,645,350918,1077142);"
66,838132,740568,384,1448,"insert into income (ownerid, houseid, familyincome, householdincome) values (384,1448,838132,740568);"
67,545558,789516,99,1077,"insert into income (ownerid, houseid, familyincome, householdincome) values (99,1077,545558,789516);"
68,739058,663094,441,813,"insert into income (ownerid, houseid, familyincome, householdincome) values (441,813,739058,663094);"
69,654033,1004501,692,14,"insert into income (ownerid, houseid, familyincome, householdincome) values (692,14,654033,1004501);"
70,983267,605983,824,2260,"insert into income (ownerid, houseid, familyincome, householdincome) values (824,2260,983267,605983);"
71,481777,644225,746,1060,"insert into income (ownerid, houseid, familyincome, householdincome) values (746,1060,481777,644225);"
72,730739,925105,602,2153,"insert into income (ownerid, houseid, familyincome, householdincome) values (602,2153,730739,925105);"
